Character,Mark,Quality,Item
Samson,Satan,0,Blood Rights
Azazel,Satan,3,Daemon's Tail (Trinket)
Lazarus,Satan,0,Broken Ankh (Trinket)
Eden,Satan,1,Book of Secrets
The Lost,Satan,4,The Mind
Lilith,Satan,2,Serpant's Kiss
Keeper,Satan,0,Keeper Holds Store Key
Apollyon,Satan,1,Locust of Pestilence (Trinket)
The Forgotten,Satan,2,Pointy Rib
Bethany,Satan,1,Urn of Souls
Jacob & Esau,Satan,3,Red Stew
Isaac,Isaac,1,Isaac's Tears
Magdalene,Isaac,3,The Relic
Cain,Isaac,2,Bag of Pennies
Judas,Isaac,2,Guillotine
???,Isaac,4,D6
Eve,Isaac,0,Eve's Bird Foot (Trinket)
Samson,Isaac,3,Bloody Lust
Azazel,Isaac,4,Satanic Bible
Lazarus,Isaac,0,Laz Rags
Eden,Isaac,2,Blank Card
The Lost,Isaac,0,Isaac's Heart
Lilith,Isaac,4,Rune Bag
Keeper,Isaac,1,Keeper Holds Wood Nickel
Apollyon,Isaac,1,Locust of Wrath (Trinket)
The Forgotten,Isaac,2,Slipped Rib
Bethany,Isaac,4,Book of Virtues
Jacob & Esau,Isaac,4,The Stairway
Isaac,The Lamb,4,Missing Poster (Trinket)
Magdalene,The Lamb,2,Maggy's Faith (Trinket)
Cain,The Lamb,1,Abel
Judas,The Lamb,4,Curved Horn
???,The Lamb,0,???'s Soul (Trinket)
Eve,The Lamb,2,Black Lipstick (Trinket)
Samson,The Lamb,1,Samson's Lock (Trinket)
Azazel,The Lamb,1,Demon Baby
Lazarus,The Lamb,3,Pandora's Box
Eden,The Lamb,2,Mystery Sack
The Lost,The Lamb,4,The Soul
Lilith,The Lamb,3,Succubus
Keeper,The Lamb,0,Karma (Trinket)
Apollyon,The Lamb,1,Locust of Death (Trinket)
The Forgotten,The Lamb,3,Brittle Bones
Bethany,The Lamb,2,Alabaster Box
Jacob & Esau,The Lamb,4,Damocles
Isaac,???,3,D20
Magdalene,???,1,Celtic Cross
Cain,???,1,Cain's Eye (Trinket)
Judas,???,4,The Left Hand
???,???,4,Fate
Eve,???,3,Sacrificial Dagger
Samson,???,3,Blood Penny (Trinket)
Azazel,???,3,Abaddon
Lazarus,???,2,Store Credit (Trinket)
Eden,???,0,Mysterious Paper (Trinket)
The Lost,???,3,The Body
Lilith,???,2,Cambion Conception
Keeper,???,0,Deep Pockets (Trinket)
Apollyon,???,1,Locust of Famine (Trinket)
The Forgotten,???,1,Jaw Bone
Bethany,???,4,Blessed Penny (Trinket)
Jacob & Esau,???,4,Birthright
Isaac,Ultra Greed,2,Lil' Chest
Magdalene,Ultra Greed,2,Censer
Cain,Ultra Greed,2,Evil Eye
Judas,Ultra Greed,2,My Shadow
???,Ultra Greed,1,Cracked Dice (Trinket)
Eve,Ultra Greed,1,Black Feather (Trinket)
Samson,Ultra Greed,3,Lusty Blood
Azazel,Ultra Greed,4,Lilith (Character)
Lazarus,Ultra Greed,1,Key Bum
Eden,Ultra Greed,1,GB Bug
The Lost,Ultra Greed,0,Zodiac
Lilith,Ultra Greed,1,Box of Friends
Keeper,Ultra Greed,0,Rib of Greed (Trinket)
Apollyon,Ultra Greed,0,Brown Nugget
The Forgotten,Ultra Greed,0,Finger Bone (Trinket)
Bethany,Ultra Greed,1,Soul Locket
Jacob & Esau,Ultra Greed,3,Inner Child
Isaac,Ultra Greedier,2,D1
Magdalene,Ultra Greedier,1,Glyph of Balance
Cain,Ultra Greedier,3,Sack of Sacks
Judas,Ultra Greedier,4,Eye of Belial
???,Ultra Greedier,0,Meconium (Trinket)
Eve,Ultra Greedier,1,Crow Heart (Trinket)
Samson,Ultra Greedier,0,Stem Cell
Azazel,Ultra Greedier,0,Bat Wing (Trinket)
Lazarus,Ultra Greedier,0,Plan C
Eden,Ultra Greedier,1,Metronome
The Lost,Ultra Greedier,1,Dad's Lost Coin
Lilith,Ultra Greedier,3,Duality
Keeper,Ultra Greedier,0,Eye of Greed
Apollyon,Ultra Greedier,3,Black Rune (Card)
The Forgotten,Ultra Greedier,1,Dad's Ring
Bethany,Ultra Greedier,1,Vade Retro
Jacob & Esau,Ultra Greedier,3,Genesis
Isaac,Hush,2,Fart Baby
Magdalene,Hush,2,Purity
Cain,Hush,1,D12
Judas,Hush,2,Betrayal
???,Hush,1,Fate's Reward
Eve,Hush,4,Athame
Samson,Hush,1,Blind Rage
Azazel,Hush,4,Maw of the Void
Lazarus,Hush,2,Empty Vessel
Eden,Hush,4,Eden's Blessing
The Lost,Hush,1,Sworn Protector
Lilith,Hush,4,Incubus
Keeper,Hush,2,Keeper +1 HP
Apollyon,Hush,1,Lil' Hushy
The Forgotten,Hush,1,Hallowed Ground
Bethany,Hush,1,Divine Intervention
Jacob & Esau,Hush,3,Vanishing Twin
Isaac,Mega Satan,0,Cry Baby (Co-Op)
Magdalene,Mega Satan,0,Red Baby (Co-Op)
Cain,Mega Satan,0,Green Baby (Co-Op)
Judas,Mega Satan,0,Brown Baby (Co-Op)
???,Mega Satan,0,Blue Baby (Co-Op)
Eve,Mega Satan,0,Lil' Baby (Co-Op)
Samson,Mega Satan,0,Rage Baby (Co-Op)
Azazel,Mega Satan,0,Black Baby (Co-Op)
Lazarus,Mega Satan,0,Long Baby (Co-Op)
Eden,Mega Satan,0,Yellow Baby (Co-Op)
The Lost,Mega Satan,0,White Baby (Co-Op)
Lilith,Mega Satan,0,Big Baby (Co-Op)
Keeper,Mega Satan,0,Noose Baby (Co-Op)
Apollyon,Mega Satan,0,Mort Baby (Co-Op)
The Forgotten,Mega Satan,0,Bound Baby (Co-Op)
Bethany,Mega Satan,0,Glowing Baby (Co-Op)
Jacob & Esau,Mega Satan,0,Illusion Baby (Co-Op)
Isaac,Delirium,4,D Infinity
Magdalene,Delirium,4,Eucharist
Cain,Delirium,3,Silver Dollar
Judas,Delirium,0,Shade
???,Delirium,1,King Baby
Eve,Delirium,0,Dull Razor
Samson,Delirium,4,Bloody Crown (Trinket)
Azazel,Delirium,2,Dark Prince's Crown
Lazarus,Delirium,3,Compound Fracture
Eden,Delirium,4,Eden's Soul
The Lost,Delirium,3,Holy Card (Card)
Lilith,Delirium,3,Euthanasia
Keeper,Delirium,3,Crooked Penny
Apollyon,Delirium,3,Void
The Forgotten,Delirium,3,Book of the Dead
Bethany,Delirium,4,Star of Bethlahem
Jacob & Esau,Delirium,1,Suplex
Isaac,Mother,1,Meat Cleaver
Magdalene,Mother,1,Yuck Heart
Cain,Mother,4,Guppy's Eye
Judas,Mother,2,Akeldama
???,Mother,4,Eternal D6
Eve,Mother,1,Bird Cage
Samson,Mother,3,Bloody Gust
Azazel,Mother,4,Devil's Crown (Trinket)
Lazarus,Mother,2,Tinytoma
Eden,Mother,2,M (Trinket)
The Lost,Mother,4,Lost Soul (Trinket)
Lilith,Mother,2,Blood Puppy
Keeper,Mother,3,Keeper's Sack
Apollyon,Mother,0,Lil Portal
The Forgotten,Mother,2,Bone Spurs
Bethany,Mother,4,Revelation
Jacob & Esau,Mother,4,Magic Skin
Isaac,The Beast,3,Options?
Magdalene,The Beast,2,Candy Heart
Cain,The Beast,2,Pound of Flesh
Judas,The Beast,3,Redemption
???,The Beast,2,Montezuma's Revenge
Eve,The Beast,3,Cracked Orb
Samson,The Beast,2,Empty Heart
Azazel,The Beast,1,Lil Abaddon
Lazarus,The Beast,2,Astral Projection
Eden,The Beast,1,Everything Jar
The Lost,The Beast,2,Hungry Soul
Lilith,The Beast,4,C Section
Keeper,The Beast,2,Keeper's Box
Apollyon,The Beast,3,Worm Friend
The Forgotten,The Beast,1,Spirit Shackles
Bethany,The Beast,0,Jar of Wisps
Jacob & Esau,The Beast,1,Friend Finder
Isaac,All Marks,0,Buddy Baby (Co-Op)
Magdalene,All Marks,0,Colofrul Baby (Co-Op)
Cain,All Marks,0,Picky Baby (Co-Op)
Judas,All Marks,0,Belial Baby (Co-Op)
???,All Marks,0,Hive Baby (Co-Op)
Eve,All Marks,0,Whore Baby (Co-Op)
Samson,All Marks,0,Revenge Baby (Co-Op)
Azazel,All Marks,0,Sucky Baby (Co-Op)
Lazarus,All Marks,0,Dripping Baby (Co-Op)
Eden,All Marks,0,Cracked Baby (Co-Op)
The Lost,All Marks,4,Godhead
Lilith,All Marks,0,Dark Baby (Co-Op)
Keeper,All Marks,0,Sale Baby (Co-Op)
Apollyon,All Marks,0,Apollyon Baby (Co-Op)
The Forgotten,All Marks,0,Bone Baby (Co-Op)
Bethany,All Marks,0,Hope Baby (Co-Op)
Jacob & Esau,All Marks,0,Solomon's Baby (Co-Op)
